"Year","Early","Election Day","Mail","Total","Early_vote_percent","Election_Day_percent","Mail_percent"
2018,659669,1482029,162814,2304512,28.6251058792491,64.3098842618307,7.06500985892024
2020,983985,437126,1502986,3037030,32.3995811697612,14.3932065208444,49.4886780835224
2022,378551,1037176,338748,1754475,21.5763120021659,59.116031861383,19.3076561364511
